Instance,Time,Gap,Objective,Gained Imparity,Imparity Quotient
Lpr-b-01-3C-7B.json,0.12194585800170898,0.0,1158.0,1,0.03571428571428571
Lpr-b-01-3C-8A.json,0.09007406234741211,0.0,1979.9999999999998,1,0.03571428571428571
Lpr-b-01-3C-8B.json,0.18927407264709473,0.0,1166.0,1,0.03571428571428571
Lpr-b-01-3C-9A.json,0.0393369197845459,0.0,1896.0,1,0.03571428571428571
Lpr-b-01-3C-9B.json,0.044328927993774414,0.0,1190.0,1,0.03571428571428571
Lpr-b-02-2C-10A.json,0.0657510757446289,0.0,9471.0,3,0.05660377358490566
Lpr-b-02-2C-10B.json,0.02733898162841797,0.0,4668.0,2,0.03773584905660377
Lpr-b-02-2C-1A.json,0.3700380325317383,0.0,8082.0,1,0.018867924528301886
Lpr-b-02-2C-1B.json,0.08807086944580078,0.0,7181.999999999999,2,0.03773584905660377
Lpr-b-02-2C-2A.json,0.016289949417114258,0.0,7453.0,2,0.03773584905660377
Lpr-b-02-2C-2B.json,0.13953304290771484,0.0,5288.000000000001,2,0.03773584905660377
Lpr-b-02-2C-3A.json,0.017626047134399414,0.0,9993.0,2,0.03773584905660377
Lpr-b-02-2C-3B.json,0.10682511329650879,0.0,6274.0,2,0.03773584905660377
Lpr-b-02-2C-4A.json,0.018886089324951172,0.0,7369.0,1,0.018867924528301886
Lpr-b-02-2C-4B.json,0.2818899154663086,0.0,5440.0,1,0.018867924528301886
Lpr-b-02-2C-5A.json,0.02331686019897461,0.0,8046.0,2,0.03773584905660377
Lpr-b-02-2C-5B.json,0.06399106979370117,0.0,6064.0,2,0.03773584905660377
Lpr-b-02-2C-6A.json,0.041168212890625,0.0,6681.0,0,0.0
Lpr-b-02-2C-6B.json,0.022975921630859375,0.0,4568.0,1,0.018867924528301886
Lpr-b-02-2C-7A.json,0.13379287719726562,0.0,6728.0,2,0.03773584905660377
Lpr-b-02-2C-7B.json,0.02348017692565918,0.0,5321.0,2,0.03773584905660377
Lpr-b-02-2C-8A.json,0.025799036026000977,0.0,6133.0,2,0.03773584905660377
Lpr-b-02-2C-8B.json,0.08662199974060059,0.0,6097.0,2,0.03773584905660377
Lpr-b-02-2C-9A.json,0.19590306282043457,0.0,7568.999999999998,1,0.018867924528301886
Lpr-b-02-2C-9B.json,0.018188953399658203,0.0,4667.0,2,0.03773584905660377
Lpr-b-03-4C-10A.json,2.739551067352295,8.541654803257217e-05,35122.0,8,0.04938271604938271
Lpr-b-03-4C-1A.json,0.9699900150299072,0.0,36207.0,8,0.04938271604938271
Lpr-b-03-4C-1B.json,3600.0,0.0009135296897149158,31745.0,8,0.04938271604938271
Lpr-b-03-4C-2A.json,11.61867380142212,0.0,45554.0,9,0.05555555555555555
Lpr-b-03-4C-2B.json,0.6817350387573242,0.0,24746.0,8,0.04938271604938271
Lpr-b-03-4C-3B.json,1408.1384229660034,0.0,27466.0,8,0.04938271604938271
Lpr-b-03-4C-4A.json,3600.0,0.003663700813627064,42034.0,8,0.04938271604938271
Lpr-b-03-4C-5A.json,14.10634994506836,8.07971990304336e-05,37130.0,10,0.06172839506172839
Lpr-b-03-4C-5B.json,162.64595317840576,3.8556446637877854e-05,25936.0,8,0.04938271604938271
Lpr-b-03-4C-6A.json,437.1141529083252,2.671867902850883e-05,37427.0,8,0.04938271604938271
Lpr-b-03-4C-7A.json,14.538761138916016,0.0,35947.0,8,0.04938271604938271
Lpr-b-03-4C-7B.json,70.73469305038452,0.0,25591.0,8,0.04938271604938271
Lpr-b-04-4C-10A.json,75.44241404533386,0.0,59870.0,12,0.04838709677419355
Lpr-b-04-4C-2B.json,72.09796810150146,8.541606163623008e-05,58537.0,12,0.04838709677419355
Lpr-b-04-4C-5A.json,271.5347020626068,9.2910898448388e-05,86104.0,13,0.05241935483870968
Lpr-b-04-4C-5B.json,3600.0,0.0012012260790323916,48284.0,12,0.04838709677419355
Lpr-b-04-4C-8A.json,3600.0,0.0012898252064461608,67451.0,12,0.04838709677419355
Lpr-b-04-4C-9A.json,466.41642594337463,0.0,70228.0,12,0.04838709677419355
